Time----------,Event----------,Altitude----------,Velocity----------,Acceleration----------,Latitude----------,Longitude----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
00:02:59:538,,17312.4,-115.398,64412.6,43.8222,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:00:550,,17189.2,-123.133,66547,43.8225,-120.654,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:01:564,,17094.9,-94.3216,12904.5,43.8227,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:02:567,,16962.4,-132.513,65800.1,43.8229,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:03:573,,16839.7,-122.741,66582.8,43.8231,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:04:586,,16737.9,-101.801,12709.1,43.8232,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:05:601,,16634.3,-103.59,12401.4,43.8235,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:06:602,,16523.6,-110.696,11524.4,43.8237,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:07:615,,16399,-124.632,12543.2,43.8239,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:08:616,,16298.1,-100.807,12073.9,43.8241,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:09:619,,16164.5,-133.695,66637.9,43.8242,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:10:631,,16053.4,-111.036,66333.6,43.8244,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:11:633,,15933.4,-120.034,13068.8,43.8247,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:12:642,,15829,-104.432,66622.7,43.8249,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:13:643,,15696.3,-132.615,66692,43.8251,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:14:652,,15576.2,-120.136,66060.9,43.8252,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:15:663,,15451.9,-124.279,65950.7,43.8253,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:16:676,,15346.1,-105.815,65454,43.8255,-120.653,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:17:689,,15219.7,-126.377,64804.7,43.8258,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:18:693,,15139.2,-80.5572,63839.3,43.826,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:19:700,,15001.5,-137.661,65636.2,43.8261,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:20:713,,14900.8,-100.68,63970.8,43.8263,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:21:726,,14780.4,-120.466,64687.4,43.8265,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:22:728,,14696,-84.3864,64312.1,43.8268,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:23:741,,14541.4,-154.586,64879.7,43.827,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:24:749,,14434.3,-107.086,64843.3,43.8271,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:25:762,,14323.1,-111.159,12339.5,43.8273,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
00:03:26:774,,14212.4,-110.745,66616.8,43.8274,-120.652,0,0,0,0,0,0,0,6.68902e-198,1.78733e-306
