,,Max Altitude,Max Velocity,,Max Acceleration(G)
,,620.335,621.582,,1.12587
Time----------,Event----------,Altitude----------,Velocity----------,Acceleration(ft/s)----------,Acceleration(G)----------,High Acceleration(G)----------,Latitude(DD)----------,Longitude(DD)----------,Latitude(DDM)----------,Longitude(DDM)----------,GyroX----------,GyroY----------,GyroZ----------,Pitch Rate----------,Roll Rate----------,Yaw Rate----------,MagX----------,MagY----------,MagZ----------
-00:01:19:094,,0,0.317748,32.1807,1.00021,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.3125,0.9375,-0.125,0.9375,-0.3125,-0.125,0,4.28084e-313,nan
-00:01:20:010,,-0.635493,-0.635493,32.2627,1.00276,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.6875,1,-0.0625,1,-0.6875,-0.0625,0,4.28084e-313,nan
-00:01:20:926,,-0.635493,0,32.1746,1.00002,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.5625,1.0625,-0.25,1.0625,-0.5625,-0.25,0,4.28084e-313,nan
-00:01:21:842,,0,0.635493,32.2206,1.00145,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.6875,1,-0.3125,1,-0.6875,-0.3125,0,4.28084e-313,nan
-00:01:22:742,,-0.953234,-0.953234,32.2647,1.00282,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.5,0.9375,-0.25,0.9375,-0.5,-0.25,0,4.28084e-313,nan
-00:01:23:657,,-0.953234,0,32.1255,0.998491,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.375,0.8125,0,0.8125,-0.375,0,0,4.28084e-313,nan
-00:01:24:574,,-0.317748,0.635486,32.176,1.00006,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.375,1,-0.125,1,-0.375,-0.125,0,4.28084e-313,nan
-00:01:25:474,,-0.635493,-0.317745,32.2046,1.00095,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.3125,1,-0.1875,1,-0.3125,-0.1875,0,4.28084e-313,nan
-00:01:26:389,,-0.953234,-0.317742,32.2149,1.00127,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.5625,0.9375,-0.0625,0.9375,-0.5625,-0.0625,0,4.28084e-313,nan
-00:01:27:289,,0,0.953234,32.2316,1.00179,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.4375,1.125,-0.1875,1.125,-0.4375,-0.1875,0,4.28084e-313,nan
-00:01:28:205,,-0.317748,-0.317748,32.1067,0.997908,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.4375,1.0625,0,1.0625,-0.4375,0,0,4.28084e-313,nan
-00:01:29:105,,0.317751,0.635499,32.2285,1.00169,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.4375,1,-0.125,1,-0.4375,-0.125,0,4.28084e-313,nan
-00:01:30:008,,-0.317748,-0.635499,32.1675,0.999797,1,32.9435,-106.914,N 32° 56.6087',W 106° 54.8458',-0.5625,0.9375,-0.1875,0.9375,-0.5625,-0.1875,0,4.28084e-313,nan
-00:01:30:919,,0,0.317748,32.2104,1.00113,1,32.9435,-106.914,N 32° 56.6086',W 106° 54.8458',-0.3125,0.9375,-0.25,0.9375,-0.3125,-0.25,0,4.28084e-313,nan
-00:01:31:819,,-0.317748,-0.317748,32.1183,0.998269,1,32.9435,-106.914,N 32° 56.6086',W 106° 54.8457',-0.25,1,0,1,-0.25,0,0,4.28084e-313,nan
-00:01:32:735,,-1.27097,-0.953225,32.1588,0.999528,1,32.9435,-106.914,N 32° 56.6086',W 106° 54.8457',-0.4375,0.8125,-0.1875,0.8125,-0.4375,-0.1875,0,4.28084e-313,nan
